cluster ID,ADM2_TH,area_sqkm,days_ago,landcover_type,lat,lon,temperature_k
205,ศรีสวัสดิ์,1.218650671875,9,forest/trees,14.4028012396988,99.048804674071,337.109985351562
206,ไทรโยค,1.625168078125,8,forest/trees,14.3604119872294,99.048804674071,339.070007324219
207,ไทรโยค,0.948165359375,6,forest/trees,14.3238778254512,99.0553816252583,306.040008544922
208,เมืองกาญจนบุรี,1.22101725,9,forest/trees,13.9513978094287,99.0600336151225,345.600006103516
209,เมืองกาญจนบุรี,1.356529265625,7,shrub&crub,13.9786841361839,99.0618302456908,309.779998779297
210,ไทรโยค,0.812737828125,8,forest/trees,14.3168998406549,99.0662095327008,335.619995117188
211,ไทรโยค,2.170124296875,6,forest/trees,14.0137184322645,99.0702098429504,339.459991455078
212,ศรีสวัสดิ์,1.351836140625,3,grass,14.7733562943981,99.0796842619626,336.75
213,ไทรโยค,0.54264728125,6,shrub&crub,13.9631881975328,99.0982120146976,309.950012207031
214,ศรีสวัสดิ์,0.948064203125,8,forest/trees,14.3484210823209,99.0991744953591,339.940002441406
215,ศรีสวัสดิ์,1.216560515625,8,forest/trees,14.7901997059753,99.0970891205924,344.519989013672
216,ศรีสวัสดิ์,20.258095875,2,forest/trees,14.9855608223892,99.1090591717533,348.119995117188
217,ศรีสวัสดิ์,4.19350396875,3,grass,14.6230695962605,99.1033193717565,367
218,ศรีสวัสดิ์,1.35242484375,6,forest/trees,14.6760013754817,99.108991798107,306.859985351563
219,ศรีสวัสดิ์,1.35078796875,6,forest/trees,14.945159092486,99.1234771320635,310.660003662109
220,ไทรโยค,0.813164015625,9,forest/trees,14.1956272772987,99.1285301555366,344.109985351563
221,ศรีสวัสดิ์,1.3502324375,8,forest/trees,15.03543977854,99.1315619696205,334.619995117187
222,ศรีสวัสดิ์,7.030203546875,6,forest/trees,14.7525611593354,99.1334536143054,346
223,ศรีสวัสดิ์,1.489008390625,8,built,14.4723185929358,99.1325113255458,346.579986572266
224,ศรีสวัสดิ์,5.41872728125,7,forest/trees,14.2966877467622,99.1473105594453,320.470001220703
225,ศรีสวัสดิ์,4.45750734375,7,shrub&crub,14.9497527501888,99.1397590965881,349.959991455078
226,ศรีสวัสดิ์,1.215140953125,6,forest/trees,15.0477167540896,99.1363904142727,331.290008544922
227,ศรีสวัสดิ์,10.8347781875,6,forest/trees,14.3535342608354,99.1543847923077,367
228,ศรีสวัสดิ์,5.54687365625,3,shrub&crub,14.5976096731117,99.138636202483,351.359985351562
229,ศรีสวัสดิ์,0.54105590625,7,grass,14.6402933429379,99.1436892259561,343.450012207031
230,ศรีสวัสดิ์,1.2164315625,9,forest/trees,14.8137804821835,99.1397590965881,330.910003662109
231,ศรีสวัสดิ์,3.2413116875,8,forest/trees,14.9844603861662,99.1473386317979,346.299987792969
232,ไทรโยค,4.337141796875,4,forest/trees,14.1813103774581,99.1461104663704,350.690002441406
233,ศรีสวัสดิ์,0.812678390625,9,forest/trees,14.3337432522321,99.1537952729025,335.739990234375
234,ศรีสวัสดิ์,1.35150859375,9,forest/trees,14.8272552114453,99.1740073667952,346.019989013672
235,ศรีสวัสดิ์,1.215485671875,8,forest/trees,14.9855832802713,99.1734459197426,339.220001220703
236,เมืองกาญจนบุรี,10.9751084375,7,forest/trees,14.2506698827863,99.1906220406843,367
237,เมืองกาญจนบุรี,1.221086765625,4,forest/trees,13.937923080167,99.1835519666889,367
238,ไทรโยค,1.220458828125,3,forest/trees,14.0591956435231,99.1835519666889,337.970001220703
239,ศรีสวัสดิ์,1.217694140625,6,forest/trees,14.5813414024176,99.191412225425,309.779998779297
240,ศรีสวัสดิ์,0.8113585625,7,forest/trees,14.7026139657737,99.1919736724776,305.429992675781
241,เมืองกาญจนบุรี,0.812749734375,7,shrub&crub,14.3135311583394,99.1975881430033,342.049987792969
242,ศรีสวัสดิ์,8.528427828125,7,forest/trees,14.4597480121742,99.1915191677207,351.730010986328
